# combo#,LP(1/0),LB(1/0),AP(1/0),AT(1/0),AO(1/0),expt_date,LP(abund),LB(abund),AP(abund),AT(abund),AO(abund),M/F,#_sp
1,1,0,0,0,0,1,3.13E+05,0,0,0,0,1,1
1,1,0,0,0,0,1,2.68E+05,0,0,0,0,1,1
1,1,0,0,0,0,1,2.24E+05,0,0,0,0,1,1
1,1,0,0,0,0,1,3.58E+05,0,0,0,0,1,1
1,1,0,0,0,0,1,2.68E+05,0,0,0,0,1,1
1,1,0,0,0,0,1,2.68E+05,0,0,0,0,1,1
1,1,0,0,0,0,1,2.68E+05,0,0,0,0,2,1
1,1,0,0,0,0,1,1.52E+05,0,0,0,0,2,1
1,1,0,0,0,0,1,1.79E+05,0,0,0,0,2,1
1,1,0,0,0,0,1,1.79E+05,0,0,0,0,2,1
1,1,0,0,0,0,1,1.79E+05,0,0,0,0,2,1
1,1,0,0,0,0,1,2.68E+05,0,0,0,0,2,1
1,1,0,0,0,0,2,4.47E+05,0,0,0,0,1,1
1,1,0,0,0,0,2,4.47E+05,0,0,0,0,1,1
1,1,0,0,0,0,2,89428,0,0,0,0,1,1
1,1,0,0,0,0,2,3.58E+05,0,0,0,0,1,1
1,1,0,0,0,0,2,3.58E+05,0,0,0,0,1,1
1,1,0,0,0,0,2,26828,0,0,0,0,1,1
1,1,0,0,0,0,2,35771,0,0,0,0,2,1
1,1,0,0,0,0,2,3.58E+05,0,0,0,0,2,1
1,1,0,0,0,0,2,1.25E+05,0,0,0,0,2,1
1,1,0,0,0,0,2,1.43E+05,0,0,0,0,2,1
1,1,0,0,0,0,2,1.34E+05,0,0,0,0,2,1
1,1,0,0,0,0,2,2.06E+05,0,0,0,0,2,1
1,1,0,0,0,0,3,2.59E+05,0,0,0,0,1,1
1,1,0,0,0,0,3,4.47E+05,0,0,0,0,1,1
1,1,0,0,0,0,3,2.50E+05,0,0,0,0,1,1
1,1,0,0,0,0,3,1.34E+05,0,0,0,0,1,1
1,1,0,0,0,0,3,1.16E+05,0,0,0,0,1,1
1,1,0,0,0,0,3,17886,0,0,0,0,1,1
1,1,0,0,0,0,3,71543,0,0,0,0,2,1
1,1,0,0,0,0,3,17886,0,0,0,0,2,1
1,1,0,0,0,0,3,1.61E+05,0,0,0,0,2,1
